"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Должен корректно сравнивать два числа, когда a < b","232","Сравнение: a меньше b","","Fri Dec 05 20:43:10 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenALessThanB"
"Должен возвращать правильное количество чётных чисел","1","Правильное количество чётных чисел","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testEvenNumbersCount"
"Должен корректно сравнивать два числа, когда a > b","1","Сравнение: a больше b","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAGreaterThanB"
"Должен правильно умножать два числа","1","Умножение чисел","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testMultiply"
"","3","Application compiles successfully","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Smoke Tests","org.example.SmokeTest","applicationCompiles"
"Должен правильно делить два числа","3","Деление чисел","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivide"
"Должен сохранять порядок чётных чисел","2","Сохранение порядка","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testMaintainOrder"
"Должен правильно вычитать два числа","1","Вычитание чисел","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testSubtract"
"Должен выбросить исключение при делении на ноль","6","Деление на ноль","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideByZero"
"Должен корректно сравнивать два числа, когда a = b","2","Сравнение: a равно b","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testCompareWhenAEqualsB"
"Должен правильно складывать два числа","4","Сложение чисел","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testAdd"
"Должен фильтровать чётные числа из массива [1,2,3,4,5,6,7,8,9,10]","19","Фильтрация чётных чисел из заданного массива","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testFilterEvenNumbers"
"Должен возвращать только чётные числа","2","Все возвращённые числа чётные","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 3: Тесты фильтра чётных чисел","org.example.tasks.Task3EvenNumberFilterTest","testAllNumbersAreEven"
"Должен правильно делить с остатком","6","Деление с дробным результатом","","Fri Dec 05 20:43:11 UTC 2025","passed","Fri Dec 05 20:43:11 UTC 2025","","Задача 1: Тесты операций с числами","org.example.tasks.Task1NumberComparatorTest","testDivideWithRemainder"
